번호,업 소 명,시군명,세부주소,전화번호,비고
117,본가,증평군,증평읍 삼보로7길 32,043-836-5545,갈비탕
118,향토식당,증평군,증평읍 삼일로3길 13,043-836-3060,자연산버섯찌개
119,산촌묵밥,증평군,증평읍 삼성길 23,043-838-1097,"연육, 도토리묵밥"
120,칠갑산가든,증평군,증평읍 문화로 79,043-836-9881,자연산버섯찌개
121,손두부촌 식당,증평군,증평읍 율리휴양로 307,043-836-8832,"두부전골, 청국장"
122,미소정,증평군,증평읍 송산로 140,043-838-7001,황태해장국
123,황제시래기 명태조림,증평군,"증평읍 인삼로 75, 1층 ",043-838-8879,시래기명태조림
124,내고향집밥,증평군,"증평읍 아랫장뜰길 64-1, 2층 ",043-838-2242,돌솥정식
125,왕순대집,증평군,증평읍 초중로 28,043-838-8870,순대국밥
126,토방촌,증평군,증평군 증평읍 초중11길 11,043-836-2244,김치찌개
127,청산가든,진천군,이월면 진안로 360,043-537-4878,간장게장
128,곰가내,진천군,백곡면 백곡로 835-8,043-532-0767,청국장
129,산골맛집,진천군,진천읍 김유신길 169-4,043-536-9509,영양돌솥밥정식
130,신궁전가든,진천군,덕산면 용몽2길 34,043-537-2849,신궁전정식
131,한천마당,진천군,덕산면 덕금로 778,043-536-5000,화랑밥상
132,산마루가든,진천군,덕산면 덕금로 889,043-536-0629,불고기정식
133,은행나무집,진천군,문백면 구곡리 508,043-534-5255,유황오리진흙구이
134,진천숯불고기,진천군,진천읍 사석1길 3,043-534-5492,고전솥밥
135,육미마을,진천군,진천읍 원덕로 179,043-536-6692,"제육쌈밥, 갈비탕, 불고기"
136,북촌곰탕,진천군,진천읍 금사로 353,043-532-8200,"곰탕, 꼬리곰탕, 도가니탕"
137,보림한우,진천군,진천읍 중앙동7길 20,043-537-3332,한우설렁탕
138,오리대가,진천군,광혜원면 실원길 15-36,043-535-5995,오리강황덮밥
139,소토골가든,진천군,백곡면 소토골길 42-9,043-532-9037,"오리백숙, 순두부"
140,두부촌,진천군,진천읍 금사로 341,043-533-9946,"두부보쌈, 순두부"
141,다원돌솥밥,진천군,문백면 농다리로 1329,,돌솥밥정식
142,제중한식촌,괴산군,청안면 청안읍내로 40,043-836-9261,청국장
143,일흥식당,괴산군,사리면 방축길 33,043-836-7019,된장찌개
144,갱치,괴산군,괴산읍 문무로역고개길 73-1,043-832-7850,한우곰탕
145,우천생고기,괴산군,괴산읍 읍내로 322,043-832-2472,자연산버섯찌개
146,괴산산막이매운탕,괴산군,칠성면 산막이옛길 80-11,043-834-9116,메기매운탕
147,대림 ,음성군,음성읍 용광로 28,043-873-3652,순두부찌개
148,이조갈비,음성군,삼성면 삼문길 45-1,043-877-7050,우렁쌈밥
149,코다리아저씨,음성군,음성읍 용광로 159-8,043-873-3200,꼬다리찜
150,중원오리골,음성군,감곡면 가곡로 224,043-882-9252,오리훈제영양솥밥
151,황톳골두부마을,음성군,음성읍 음성로 168,043-872-9919,두부버섯전골
152,미담갈비탕,음성군,감곡면 상우안길 60,043-881-9900,갈비탕
153,채움 생선구이·조림,음성군,맹동면 용두2가길 11,043-883-3870,갈치구이
154,소담밥집,음성군,음성군 생극면 음성로 1725,043-878-0870,황태더덕정식
155,성원마늘약선요리,단양군,단양읍 삼봉로 59,043-421-8777,마늘약선정식
156,벌집식당,단양군,단양읍 별곡9길 16,043-422-2872,곤드레솥밥
157,장다리식당,단양군,단양읍 삼봉로 370,043-423-3960,마늘정식
158,전원회관,단양군,단양읍 중앙1로 42,043-423-3131,마늘돌솥정식
159,고향집두부,단양군,대강면 단양로 68,043-421-0150,해물순두부
160,영상강가든,단양군,영춘면 남천 계곡로 41,043-423-0573,산채더덕정식
161,단양팔각정,단양군,단양읍 수변로 95,043-422-8165,팔각정수라상
162,대교약선요리,단양군,단양읍 별곡9길 15,043-421-3599,"버섯전골, 마늘정식"
163,계절그리기,단양군,단양읍 다리안로 499,043-422-8836,곤드레밥
164,가연,단양군,단양읍 삼봉로 87,0507-1321-4805,마늘떡갈비
